id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-172.9736842105263	103.5	169.0	0	0	200	90	1.7	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
2	spot	0	103.5	323.1	0	0	200	90	1.7	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
3	spot	137.73684210526315	103.5	179.8	0	0	200	90	1.7	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
3	spot	-146.38947368421051	103.5	349.1368421052631	40	270	200	25	2.0	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
4	spot	-70.69473684210527	103.5	349.1368421052631	40	270	200	25	2.0	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
5	spot	4.999999999999972	103.5	349.1368421052631	40	270	200	25	2.0	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
6	spot	80.69473684210524	103.5	349.1368421052631	40	270	200	25	2.0	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
7	spot	144.23684210526315	103.5	356.05055999999996	40	0	200	25	2.0	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
8	spot	144.23684210526315	103.5	207.15789473684208	40	0	200	25	2.0	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
9	spot	144.23684210526315	103.5	58.26522947368423	40	0	200	25	2.0	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
10	spot	-72.11842105263158	103.5	203.03545263157892	60	180	200	40	3.6	0.8922238138575465,0.8152421336297058,0.8101075320958431,1
