ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/27277/title_panel.png	-127.0,28.656,30	0,0,1	0,1,0	-1,0,0	0	-2.443498	0.2	1.4	none(caption)	4:3	22
1	./Images/27277/word_cloud.png	-148.2,38,99.41684210526314	0,0,1	0,1,0	-1,0,0	69.5917894736842	5	0.2	2.5	Wooden_thin2	-1:-1	23
1	./Images/27277/Umeboshi 20101209 c.jpg	-148.2,38,98.42267368421051	0,0,1	0,1,0	-1,0,0	0	5	0.2	5.6	Wooden_thin2	-1:-1	23
1	./Images/27277/caption/caption0.png	-148.2,38,98.42267368421051	0,0,1	0,1,0	-1,0,0	35	-2	1	0.8	Wooden_thin2	-1:-1	23
3	./Images/27277/Umeboshi.jpg	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	-61.599999999999994	-10	0.2	2.3174089068825907	Wooden_thin	-1:-1	3
4	./Images/27277/caption/caption1.png	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	-46.87530364372469	-20	1.5	0.7	none(caption)	-1:-1	4
5	./Images/27277/Umebosi Doyobosi.jpg	148.2,38,100.42105263157893	0,0,-1	0,1,0	1,0,0	72.17662736842104	-10	0.2	4.5	Wooden_thin	-1:-1	5
6	./Images/27277/caption/caption2.png	148.2,38,100.42105263157893	0,0,-1	0,1,0	1,0,0	94.17662736842104	-20	1.5	0.7	none(caption)	-1:-1	6
7	./Images/27277/Prunus mume 20100626 0751.jpg	148.2,38,100.42105263157893	0,0,-1	0,1,0	1,0,0	0.0	-10	0.2	4.5	Wooden_thin	-1:-1	7
8	./Images/27277/caption/caption3.png	148.2,38,100.42105263157893	0,0,-1	0,1,0	1,0,0	22.0	-20	1.5	0.7	none(caption)	-1:-1	8
9	./Images/27277/Prunus mume 20100626 0946.jpg	148.2,38,100.42105263157893	0,0,-1	0,1,0	1,0,0	-72.17662736842107	-10	0.2	4.5	Wooden_thin	-1:-1	9
10	./Images/27277/caption/caption4.png	148.2,38,100.42105263157893	0,0,-1	0,1,0	1,0,0	-50.176627368421066	-20	1.5	0.7	none(caption)	-1:-1	10
